,Air Conditioners,Air Purifiers,Cameras,Chargers,Coffee Makers,Computer Mice,Cookers,Deep Fryers,Desktop Computers,Dishwashers,Drones,E-Readers,Electric Kettles,Electric Toothbrushes,Fans,Freezers,Fridges,Gaming Consoles,Graphic Cards,Hair Dryers,Headphones,Hobs,Irons,Juicers,Keyboards,Kitchen Scales,Laptops,Microphones,Microwave Ovens,Monitors,Musical Instruments,Ovens,PC Games,Phone Cases,Printers,Processors,Radiators,Radios,Scanners,Shavers,Smart Watches,Smartphones,Speakers,Stand Mixers,Tablets,Televisions,Trimmers,Vacuum Cleaners,VR Headsets,Washing Machines
Headphones,8.333333333333332,13.333333333333334,61.53846153846154,69.23076923076923,0.0,46.666666666666664,0.0,0.0,38.46153846153847,0.0,46.15384615384615,58.333333333333336,0.0,23.52941176470588,15.384615384615385,0.0,0.0,46.666666666666664,41.17647058823529,8.333333333333332,0.0,0.0,10.0,0.0,43.75,0.0,37.5,66.66666666666666,0.0,33.33333333333333,33.33333333333333,7.6923076923076925,42.857142857142854,33.33333333333333,45.45454545454545,41.66666666666667,0.0,60.0,40.0,7.6923076923076925,64.28571428571429,61.53846153846154,73.33333333333333,9.090909090909092,41.66666666666667,40.0,7.142857142857142,0.0,41.66666666666667,0.0
Hobs,13.333333333333334,5.88235294117647,7.6923076923076925,0.0,70.58823529411765,6.25,100.0,83.33333333333334,0.0,82.35294117647058,6.25,0.0,70.0,16.666666666666664,16.666666666666664,80.0,76.92307692307693,6.666666666666667,0.0,9.090909090909092,0.0,0.0,9.090909090909092,69.23076923076923,0.0,53.333333333333336,0.0,0.0,84.61538461538461,0.0,0.0,85.71428571428571,7.142857142857142,7.6923076923076925,0.0,14.285714285714285,25.0,12.5,13.333333333333334,7.6923076923076925,6.25,9.090909090909092,0.0,60.0,6.666666666666667,12.5,6.666666666666667,18.181818181818183,7.142857142857142,61.53846153846154
Irons,33.33333333333333,47.05882352941176,18.181818181818183,0.0,25.0,0.0,18.75,25.0,0.0,12.5,0.0,0.0,38.46153846153847,35.294117647058826,60.0,0.0,14.285714285714285,0.0,0.0,50.0,10.0,9.090909090909092,0.0,21.428571428571427,6.25,25.0,0.0,0.0,30.76923076923077,9.090909090909092,0.0,7.142857142857142,0.0,0.0,0.0,0.0,38.46153846153847,16.666666666666664,7.142857142857142,50.0,6.25,8.333333333333332,0.0,21.428571428571427,0.0,18.181818181818183,35.294117647058826,83.33333333333334,0.0,23.076923076923077
Juicers,14.285714285714285,7.6923076923076925,0.0,0.0,94.44444444444444,0.0,80.0,88.23529411764706,0.0,56.25,0.0,0.0,100.0,10.526315789473683,23.076923076923077,70.58823529411765,75.0,0.0,0.0,0.0,0.0,69.23076923076923,21.428571428571427,0.0,0.0,94.73684210526315,0.0,0.0,80.0,0.0,0.0,64.70588235294117,0.0,0.0,0.0,25.0,33.33333333333333,0.0,0.0,16.666666666666664,0.0,0.0,0.0,66.66666666666666,0.0,9.090909090909092,12.5,28.57142857142857,0.0,50.0
Keyboards,0.0,5.263157894736842,33.33333333333333,42.10526315789473,5.263157894736842,100.0,5.263157894736842,0.0,94.11764705882352,0.0,37.5,43.75,7.6923076923076925,13.636363636363635,6.25,0.0,0.0,50.0,60.0,12.5,43.75,0.0,6.25,0.0,0.0,0.0,85.71428571428571,64.28571428571429,6.666666666666667,100.0,17.647058823529413,5.88235294117647,52.63157894736842,0.0,78.57142857142857,50.0,5.555555555555555,25.0,68.75,11.76470588235294,25.0,20.0,68.42105263157895,0.0,43.75,21.428571428571427,10.526315789473683,5.88235294117647,45.0,5.88235294117647
Kitchen Scales,5.88235294117647,10.526315789473683,0.0,0.0,89.47368421052632,0.0,73.68421052631578,94.11764705882352,0.0,57.14285714285714,0.0,0.0,93.33333333333333,19.047619047619047,13.333333333333334,57.89473684210527,66.66666666666666,0.0,0.0,6.25,0.0,53.333333333333336,25.0,94.73684210526315,0.0,0.0,0.0,0.0,75.0,0.0,0.0,57.89473684210527,0.0,0.0,0.0,21.428571428571427,20.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,76.92307692307693,0.0,0.0,10.0,23.076923076923077,0.0,47.05882352941176
Laptops,0.0,7.6923076923076925,42.857142857142854,46.15384615384615,0.0,77.77777777777779,0.0,0.0,84.61538461538461,0.0,25.0,20.0,0.0,12.5,16.666666666666664,0.0,0.0,60.0,54.54545454545454,9.090909090909092,37.5,0.0,0.0,0.0,85.71428571428571,0.0,0.0,100.0,0.0,91.66666666666666,27.27272727272727,0.0,53.84615384615385,0.0,83.33333333333334,72.72727272727273,0.0,31.25,63.63636363636363,10.0,42.857142857142854,30.0,84.61538461538461,0.0,63.63636363636363,62.5,8.333333333333332,0.0,52.94117647058824,0.0
Microphones,7.6923076923076925,13.333333333333334,53.84615384615385,61.53846153846154,0.0,58.333333333333336,0.0,0.0,64.28571428571429,0.0,31.25,50.0,0.0,11.11111111111111,8.333333333333332,0.0,0.0,60.0,38.46153846153847,0.0,66.66666666666666,0.0,0.0,0.0,64.28571428571429,0.0,100.0,0.0,0.0,70.0,33.33333333333333,7.6923076923076925,50.0,20.0,58.333333333333336,70.0,0.0,53.333333333333336,64.28571428571429,0.0,43.75,36.36363636363637,94.11764705882352,0.0,54.54545454545454,60.0,0.0,0.0,70.0,0.0
Microwave Ovens,0.0,13.333333333333334,0.0,0.0,81.25,0.0,83.33333333333334,84.61538461538461,0.0,66.66666666666666,0.0,0.0,83.33333333333334,13.333333333333334,20.0,71.42857142857143,64.28571428571429,0.0,0.0,22.22222222222222,0.0,84.61538461538461,30.76923076923077,80.0,6.666666666666667,75.0,0.0,0.0,0.0,11.11111111111111,0.0,71.42857142857143,0.0,0.0,0.0,8.333333333333332,30.76923076923077,0.0,6.666666666666667,11.11111111111111,0.0,0.0,0.0,57.14285714285714,0.0,0.0,13.333333333333334,41.66666666666667,0.0,58.333333333333336
Monitors,0.0,5.88235294117647,15.384615384615385,35.714285714285715,7.6923076923076925,93.33333333333333,6.25,0.0,92.85714285714286,0.0,20.0,33.33333333333333,7.6923076923076925,6.666666666666667,9.090909090909092,0.0,0.0,50.0,53.333333333333336,13.333333333333334,33.33333333333333,0.0,9.090909090909092,0.0,100.0,0.0,91.66666666666666,70.0,11.11111111111111,0.0,16.666666666666664,0.0,56.25,8.333333333333332,76.92307692307693,63.63636363636363,6.25,18.75,70.58823529411765,14.285714285714285,25.0,8.333333333333332,61.53846153846154,0.0,43.75,22.22222222222222,11.76470588235294,7.6923076923076925,53.84615384615385,6.666666666666667
