,Air Conditioners,Air Purifiers,Fans,Radiators,Vacuum Cleaners,Irons,Coffee Makers,Deep Fryers,Electric Kettles,Kitchen Scales,Juicers,Microwave Ovens,Cookers,Ovens,Freezers,Hobs,Stand Mixers,Fridges,Dishwashers,Washing Machines,Electric Toothbrushes,Shavers,Trimmers,Hair Dryers,Cameras,Computer Mice,Keyboards,Monitors,Desktop Computers,Graphic Cards,Laptops,Printers,Scanners,Tablets,E-Readers,Gaming Consoles,PC Games,Microphones,VR Headsets,Speakers,Processors,Headphones,Smart Watches,Smartphones,Chargers,Phone Cases,Drones,Radios,Televisions,Musical Instruments
Electric Toothbrushes,20.0,25.0,20.0,20.0,22.5,25.0,7.5,7.5,7.5,10.0,12.5,7.5,7.5,7.5,7.5,10.0,10.0,7.5,10.0,12.5,0.0,87.5,82.5,77.5,5.0,2.5,2.5,2.5,2.5,2.5,5.0,7.5,5.0,7.5,5.0,7.5,2.5,2.5,5.0,7.5,2.5,7.5,7.5,7.5,5.0,7.5,10.0,17.5,17.5,12.5
Shavers,22.5,30.0,25.0,20.0,22.5,27.500000000000004,5.0,5.0,5.0,7.5,10.0,5.0,5.0,5.0,5.0,5.0,7.5,5.0,7.5,12.5,87.5,0.0,90.0,85.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,7.5,7.5,5.0,7.5,5.0,5.0,5.0,7.5,2.5,7.5,5.0,7.5,7.5,10.0,10.0,20.0,20.0,12.5
Trimmers,25.0,32.5,25.0,25.0,22.5,27.500000000000004,5.0,5.0,5.0,7.5,10.0,5.0,5.0,5.0,5.0,7.5,10.0,5.0,10.0,10.0,82.5,90.0,0.0,85.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,7.5,7.5,7.5,7.5,5.0,5.0,5.0,7.5,2.5,7.5,5.0,7.5,7.5,10.0,10.0,20.0,20.0,10.0
Hair Dryers,25.0,32.5,30.0,27.500000000000004,30.0,30.0,10.0,10.0,10.0,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,17.5,77.5,85.0,85.0,0.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,7.5,5.0,5.0,5.0,5.0,2.5,2.5,2.5,7.5,2.5,5.0,5.0,5.0,2.5,7.5,5.0,17.5,22.5,10.0
Cameras,2.5,2.5,7.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,10.0,10.0,5.0,0.0,45.0,45.0,42.5,45.0,45.0,47.5,35.0,37.5,70.0,65.0,45.0,37.5,57.49999999999999,60.0,47.5,30.0,50.0,65.0,65.0,57.49999999999999,52.5,60.0,57.49999999999999,47.5,37.5
Computer Mice,0.0,2.5,12.5,0.0,2.5,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.0,2.5,2.5,2.5,5.0,5.0,2.5,45.0,0.0,90.0,87.5,80.0,87.5,80.0,72.5,75.0,55.00000000000001,35.0,52.5,65.0,67.5,60.0,55.00000000000001,62.5,52.5,35.0,32.5,47.5,40.0,40.0,27.500000000000004,25.0,12.5
Keyboards,0.0,2.5,12.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,5.0,5.0,2.5,45.0,90.0,0.0,92.5,90.0,82.5,85.0,72.5,80.0,60.0,40.0,60.0,72.5,62.5,60.0,62.5,65.0,52.5,37.5,35.0,47.5,40.0,42.5,27.500000000000004,27.500000000000004,12.5
Monitors,0.0,2.5,12.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,5.0,5.0,2.5,42.5,87.5,92.5,0.0,87.5,90.0,82.5,77.5,85.0,57.49999999999999,37.5,55.00000000000001,70.0,60.0,52.5,55.00000000000001,72.5,50.0,35.0,32.5,40.0,32.5,37.5,20.0,22.5,12.5
Desktop Computers,0.0,2.5,10.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,5.0,5.0,2.5,45.0,80.0,90.0,87.5,0.0,77.5,90.0,75.0,77.5,70.0,47.5,62.5,72.5,57.49999999999999,55.00000000000001,57.49999999999999,65.0,47.5,40.0,42.5,45.0,37.5,42.5,25.0,30.0,10.0
Graphic Cards,0.0,2.5,12.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.5,5.0,5.0,2.5,45.0,87.5,82.5,90.0,77.5,0.0,77.5,67.5,75.0,52.5,32.5,50.0,62.5,57.49999999999999,52.5,47.5,70.0,50.0,32.5,35.0,47.5,37.5,42.5,20.0,20.0,12.5
Laptops,0.0,2.5,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,5.0,5.0,5.0,2.5,47.5,80.0,85.0,82.5,90.0,77.5,0.0,65.0,72.5,75.0,50.0,62.5,67.5,57.49999999999999,60.0,52.5,60.0,52.5,45.0,47.5,45.0,32.5,42.5,27.500000000000004,32.5,12.5
Printers,5.0,10.0,15.0,5.0,10.0,12.5,12.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.5,10.0,10.0,7.5,10.0,10.0,7.5,35.0,72.5,72.5,77.5,75.0,67.5,65.0,0.0,90.0,47.5,30.0,40.0,52.5,50.0,42.5,45.0,60.0,37.5,30.0,27.500000000000004,32.5,30.0,27.500000000000004,25.0,22.5,12.5
Scanners,2.5,5.0,12.5,2.5,2.5,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.0,2.5,2.5,5.0,7.5,7.5,5.0,37.5,75.0,80.0,85.0,77.5,75.0,72.5,90.0,0.0,52.5,35.0,45.0,57.49999999999999,55.00000000000001,47.5,47.5,57.49999999999999,45.0,32.5,30.0,37.5,32.5,32.5,27.500000000000004,22.5,15.0
Tablets,0.0,2.5,5.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,7.5,7.5,7.5,5.0,70.0,55.00000000000001,60.0,57.49999999999999,70.0,52.5,75.0,47.5,52.5,0.0,72.5,57.49999999999999,50.0,52.5,57.49999999999999,50.0,42.5,52.5,65.0,67.5,60.0,47.5,52.5,42.5,40.0,22.5
E-Readers,5.0,10.0,10.0,5.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,0.0,2.5,5.0,5.0,7.5,5.0,65.0,35.0,40.0,37.5,47.5,32.5,50.0,30.0,35.0,72.5,0.0,55.00000000000001,47.5,52.5,52.5,45.0,27.500000000000004,47.5,57.49999999999999,57.49999999999999,52.5,45.0,57.49999999999999,47.5,45.0,27.500000000000004
